,date,cust_id,occupation_code_tge,AGE_tge,feature_01,feature_02,feature_03,feature_04,feature_05,risk_rank_0,risk_rank_1,risk_rank_2,risk_rank_3
0,0,972ee157e63316e8a50dd489bc93730a3ee8a8959d5c6b7f9742ee5caba62cb8,0.034934497816593885,0.02526002971768202,1.0,0.5116524579714764,0.0,0.7726506531816266,1,0,1,0,0
1,0,a10ab33f90926fb18d7bb5e78034d7f04a1fbed95b7951eae08d57158323de9a,0.04054054054054054,0.05417814508723599,,,,,0,0,0,0,1
2,0,3433ecc068ed1c9e2f5037cab5d42d7b901e9bd624c1fbe15fd0b422749e41b9,0.04054054054054054,0.02526002971768202,,,,,0,0,1,0,0
3,0,a0861608615a9365d90f4ba0a813c0ea0471987f925c8ba0b81d6356af5c2b2f,0.07627118644067797,0.02526002971768202,,,,,0,0,0,0,1
4,0,a39fea9aec90969fe66a2b2b4d1b86368a2d38e8b8d4bfeb016d17b16f37a8d8,0.04054054054054054,0.046561992420140766,1.0,0.5489306373719683,1.0,-0.0070035813768404296,1,0,0,0,1
5,0,1a3efa69705f611c7ef2384a715c8142e2ee801cfec9df4eb21131c33fc247a7,0.015990159901599015,0.014106583072100314,1.0,0.3057308057992218,1.0,-0.05797816157923421,1,0,0,0,1
6,0,39ca3b25ccd31919fd22559e1f7f10bed1d22f1b96f13ac8538c677bbc72480e,0.07627118644067797,0.05417814508723599,,,,,0,0,0,0,1
7,0,43ca84051796dcbb9ad40a9660df4bd757b1d382352bc0d8dfa08293f749ebd9,0.02889576883384933,0.046561992420140766,1.0,0.0,,,1,0,1,0,0
8,0,36a340a7b16178420c059491e3a9045b123744479d75d1d4e95e3cf1703ca055,0.04054054054054054,0.046561992420140766,1.0,0.04414935356813628,0.0,0.040488577244967204,1,0,0,0,1
9,0,67f8cbb64dd3d447e992b1b299e0ceed3372188e47c88e213b16abaedf6af700,0.034934497816593885,0.02526002971768202,1.0,0.013813082214778201,0.0,4.361635220125786,1,0,1,0,0
10,0,b2ba3c316c162be08338a48cb6e5d9840f2400e41e73629ae0deb2cdd6420bda,0.034934497816593885,0.0175054704595186,1.0,0.0905271877403704,0.0,-0.5712684475994769,1,0,1,0,0
11,0,9a1b8b6f1e57ba6b7c61bfbd898e9b115c3a8df02819c47947ca76f2c64b1b5d,0.015990159901599015,0.0175054704595186,1.0,0.5881919329202276,0.0,-0.04507920086661494,1,0,0,0,1
12,0,9d5991f491b1f1a9fd7410fc1aeb3bd09e3fdd84d8fe950053274202332f188a,0.02889576883384933,0.046561992420140766,1.0,0.11237423750297076,0.03761302905194904,0.6523625507456648,1,0,1,0,0
13,0,ad09177963d7dffdef4714eb7b25e31c20ae86c046d1e9cfea6597ae5f264f32,0.034934497816593885,0.046561992420140766,,,,,0,0,1,0,0
14,0,b5682d7daf663b469294340258701dd3febf795648bab8b43608698a751877da,0.022222222222222223,0.05417814508723599,,,,,0,0,0,0,1
15,0,4c9914b594bac26a921251f8f7c64f8088c73e57ecb6695b7434d73e5b86e26f,0.015990159901599015,0.014106583072100314,,,,,0,0,1,0,0
16,0,7de1cdc84de4fe3b420fd370c8d21fa2adaacb35f8c52d7d3970961cc0503272,0.05319148936170213,0.046561992420140766,1.0,1.054596068628565,0.0,-0.20371188687582856,1,0,1,0,0
17,0,099068a1a9b89fb02b364680ce043ab3f47b1abfe8c9f533e7da789f59d27656,0.04054054054054054,0.046561992420140766,1.0,0.9412771752720893,0.0,0.0009699950784693187,1,0,1,0,0
18,0,627c092139950602628fa87c7a27bd8679950adccfa4c9c9cd21e910963c13ff,0.02889576883384933,0.014106583072100314,0.0,-0.0249457510849783,0.0,-0.6670556203811746,1,0,1,0,0
19,0,aaba30b28e01c63b173ee72c6aa5828e727917ae2aa4d7432d967b0a6afa7607,0.034934497816593885,0.02526002971768202,1.0,0.0,,,1,0,1,0,0
20,0,96d6e3de3b789c1ee88ad985ee66c404671f488b63b6d0b03571f9daf09e937b,0.015990159901599015,0.046561992420140766,,,,,0,0,1,0,0
21,0,adb20f4d429c5a98fa6feb4a00061d4eacfc66b5b05b2918c9bcaac14a016778,0.02889576883384933,0.0175054704595186,1.0,0.0,,,1,0,0,0,1
22,0,ccf71bf5969f7949c6f2dc704c82a61922448e204bf9bc6b59ddf6c92c6e174e,0.019417475728155338,0.05417814508723599,1.0,0.02253097402387345,0.3697056712132089,1.7048543689320388,1,0,1,0,0
23,0,f00f64804f374f8416d66993d8f0c63b892bf86af47dcf593e2623c29a5ead82,0.04065040650406504,0.02526002971768202,1.0,0.18099612458734032,0.1024839326037867,-0.15309174716814594,1,0,1,0,0
24,0,96115737ec9dc7525f188a3d5668d8b399d38d31e73eff12388f6a193fb45da1,0.02889576883384933,0.0175054704595186,1.0,0.06461762334572198,0.0,1.4837490551776267,1,0,1,0,0
25,0,7a5bb395f798e329689984d41e3e4848ace9c24c52f3806b119b8832ddcfd2cb,0.019417475728155338,0.02526002971768202,1.0,0.39203773452075047,-0.2474066390041494,-1.123749530070879,1,0,1,0,0
26,0,781aac216cd49166665fed03433eaf4f83f49b701835d2f9b1dcea8aabc11cd6,0.0673076923076923,0.046561992420140766,1.0,0.6213947286661143,0.7969033108219403,-0.9540260350010981,1,0,0,0,1
27,0,95836236dac30345eaf79b450af364b869724d46adc7cdefcab5ff32bc288348,0.04054054054054054,0.046561992420140766,1.0,0.9999437019842885,0.01648632920363144,-0.05860068650705497,1,0,0,0,1
28,0,c58e3092e037420bfbde0adaf2f7a4ccb654c5dedac68366a3ca4c2fc674d047,0.015990159901599015,0.014106583072100314,0.0,-0.7548899279757165,0.0,-0.1148760263806463,1,0,1,0,0
29,0,8a89be5b38f76afa6deeb419c9efd97fca86463faba234f3d798db28be3a91f6,0.02889576883384933,0.046561992420140766,1.0,0.18569725864123957,0.0,1.2361924445975427,1,0,1,0,0
30,0,f7a269be937fa0678708a5c63db12e22c12e4e751ac76f35f1b62b3aa65221dd,0.015990159901599015,0.014106583072100314,,,,,0,0,1,0,0
31,0,f2b4083d595c11089d82e642dac4ebd136fb8a2385ef16fbf03b417fdc45ca98,0.04054054054054054,0.046561992420140766,1.0,0.0,,,1,0,1,0,0
32,0,795fa4da2a5651846e4c49cd4d955143e8d5e9cbf883fe5ff6935d71b2ef0d97,0.02889576883384933,0.02526002971768202,,,,,0,0,1,0,0
33,0,2a69f19a029ad23ed20941fd191534d140fe3adcee0bc170f43bf218bd5909ad,0.05319148936170213,0.046561992420140766,,,,,0,0,0,0,1
34,0,7e42b5dca9b28ee8e5545beb834361e90e6197d176b389718e6c99b10041c816,0.05319148936170213,0.014106583072100314,1.0,0.19817231813241457,0.0,0.3909522479754259,1,0,0,0,1
